iter	Passed	Remaining
0	30	6155
1	65	6453
2	107	7033
3	121	5965
4	157	6150
5	196	6368
6	246	6789
7	295	7099
8	335	7127
9	375	7142
10	420	7229
11	456	7157
12	501	7209
13	540	7176
14	581	7171
15	633	7287
16	682	7351
17	732	7403
18	781	7440
19	829	7463
20	879	7498
21	929	7517
22	980	7543
23	1030	7560
24	1078	7548
25	1124	7523
26	1153	7388
27	1197	7357
28	1228	7246
29	1269	7192
30	1318	7186
31	1369	7190
32	1418	7176
33	1472	7188
34	1521	7172
35	1570	7153
36	1614	7114
37	1639	6989
38	1688	6971
39	1757	7031
40	1816	7042
41	1874	7050
42	1926	7032
43	1959	6948
44	2014	6939
45	2066	6918
46	2122	6911
47	2175	6889
48	2228	6866
49	2263	6790
50	2319	6776
51	2369	6743
52	2430	6739
53	2480	6705
54	2528	6665
55	2571	6611
56	2585	6485
57	2627	6432
58	2676	6396
59	2729	6367
60	2779	6333
61	2822	6281
62	2860	6220
63	2897	6157
64	2940	6107
65	2980	6050
66	3017	5989
67	3057	5935
68	3099	5884
69	3138	5827
70	3178	5774
71	3192	5675
72	3233	5625
73	3253	5539
74	3291	5485
75	3326	5426
76	3361	5370
77	3403	5323
78	3442	5272
79	3480	5221
80	3519	5170
81	3557	5118
82	3593	5065
83	3635	5020
84	3675	4972
85	3717	4927
86	3753	4875
87	3789	4823
88	3827	4773
89	3870	4730
90	3908	4682
91	3950	4637
92	3991	4592
93	4032	4547
94	4072	4500
95	4109	4451
96	4151	4408
97	4189	4360
98	4226	4312
99	4266	4266
100	4308	4223
101	4347	4176
102	4383	4127
103	4418	4078
104	4460	4035
105	4498	3988
106	4534	3940
107	4572	3894
108	4610	3849
109	4651	3805
110	4688	3759
111	4724	3712
112	4763	3667
113	4803	3623
114	4841	3578
115	4879	3533
116	4916	3487
117	4959	3446
118	5002	3404
119	5044	3363
120	5098	3329
121	5137	3284
122	5181	3243
123	5223	3201
124	5265	3159
125	5305	3115
126	5345	3072
127	5386	3030
128	5427	2986
129	5469	2944
130	5517	2906
131	5575	2872
132	5615	2828
133	5654	2785
134	5692	2740
135	5736	2699
136	5775	2655
137	5815	2612
138	5850	2567
139	5885	2522
140	5926	2480
141	5973	2439
142	6010	2395
143	6047	2351
144	6085	2308
145	6127	2266
146	6167	2223
147	6204	2179
148	6245	2137
149	6285	2095
150	6325	2052
151	6362	2009
152	6398	1965
153	6437	1922
154	6475	1879
155	6513	1837
156	6553	1794
157	6594	1752
158	6631	1710
159	6670	1667
160	6709	1625
161	6752	1583
162	6793	1542
163	6835	1500
164	6876	1458
165	6915	1416
166	6954	1374
167	6992	1331
168	7031	1289
169	7073	1248
170	7109	1205
171	7146	1163
172	7186	1121
173	7227	1080
174	7266	1038
175	7301	995
176	7336	953
177	7379	912
178	7416	870
179	7453	828
180	7494	786
181	7535	745
182	7573	703
183	7610	661
184	7649	620
185	7690	578
186	7733	537
187	7776	496
188	7819	455
189	7859	413
190	7898	372
191	7937	330
192	7975	289
193	8017	247
194	8062	206
195	8101	165
196	8142	124
197	8183	82
198	8224	41
199	8281	0
